Name;Element;Element;Element;DeptAttachement
POO et XML ;Prge orientee objet : java;XML et Applications;-;SIC
Modelisation et IHM;Modelisation orientee objet UML;Interaction Homme Machine;-;MI
Bases de donnees avancees;Optimisation et Qualite;Administration et Securite;Base de donnees NoSql;SIC
Administration et programmation systeme;Administration Sys;Programmation Sys;-;MI
Qualite et approche processus;Assurance controle quilite;Cycle de vie et Methodes agiles;-;SIC
Langues et communication 2;Espagnol 2;Anglais professionnel;Techniques de communication;SIC
Technologies distribuees;Introduction a J2EE;Programmation en C;-;SIC
Bases de donnees avancees 2 et Cloud;Gestion des donnees complexes;Gestion des donnees distribuees;Cloud computing;SIC
Traitement de l'image;Traitement d'image;Vision numerique;Processus Stochastique;SIC
Prge declarative et TAV;Prge declarative;Technique algorithmique;-;MI
Securite et Cryptographie;Securite des sys;Cryptographie;-;MI
Management de l'entreprise 2;Economie et Compta 2;Projets Collectifs et Stages;Management de projet;SIC
